,Site,HouseID,REP#,CoreID,Depth,LU_Current,LU_Previous,Yr_Built,Lawn Age,CoarseVeg,StructDen,BD,Sand_Perc,Clay_Perc,Silt_Perc,Respiration,C_Perc,N_Perc,C_N_Perc,MB_C,MB_N,C_gm2,N_gm2,Initial Nitrates,Initial NH4,Net N Min,Net Nitr
203,House7,7.0,2,7.2,70to100,Residential,Forest,2001.0,6.0,4.0,2.0,1.182,49.663,14.489,35.848,2.232,0.074,0.0,13.41740885880537,54.59,0.747,261.094,0.0,0.254,0.254,0.423,0.0
204,House8,8.0,1,8.1,0to10,Residential,Forest,1969.0,38.0,2.0,2.0,0.895,51.649,16.242,32.109,6.68,1.774,0.175,10.139,693.56,72.25,1586.691,156.496,20.366,16.16,0.797,2.308
205,House8,8.0,2,8.2,0to10,Residential,Forest,1969.0,38.0,2.0,2.0,0.87,,,,7.011,2.332,0.201,11.596,102.15,51.516,2028.202,174.899,10.232,0.28,0.838,0.788
206,House8,8.0,1,8.1,10to30,Residential,Forest,1969.0,38.0,2.0,2.0,1.166,62.337,13.764,23.899,4.618,0.296,0.028,10.608,136.44,4.549,689.371,64.984,0.539,0.245,-0.03,-0.03
207,House8,8.0,2,8.2,10to30,Residential,Forest,1969.0,38.0,2.0,2.0,1.052,62.231,13.757,24.012,2.725,0.377,0.043,8.862,130.64,5.707,793.51,89.537,1.231,0.246,0.07,0.045
208,House8,8.0,1,8.1,30to70,Residential,Forest,1969.0,38.0,2.0,2.0,1.14,76.363,1.251,22.386,2.552,0.066,0.0,13.41740885880537,108.63,0.956,299.546,0.0,0.244,0.244,0.058,0.0
209,House8,8.0,2,8.2,30to70,Residential,Forest,1969.0,38.0,2.0,2.0,1.152,79.385,2.499,18.116,2.523,0.078,0.009,8.324,58.74,1.499,358.008,43.01,0.235,0.235,0.0,0.0
210,House8,8.0,1,8.1,70to100,Residential,Forest,1969.0,38.0,2.0,2.0,1.194,84.391,2.498,13.112,2.662,0.041,0.0,13.41740885880537,57.04,0.746,147.039,0.0,0.235,0.235,0.0,0.0
211,House8,8.0,2,8.2,70to100,Residential,Forest,1969.0,38.0,2.0,2.0,1.239,89.489,2.503,8.008,2.415,0.023,0.0,13.41740885880537,63.39,0.725,85.488,0.0,0.23,0.23,0.0,0.0
212,House10,10.0,1,10.1,0to10,Residential,Forest,1989.0,18.0,4.0,2.0,0.998,37.766,20.745,41.49,17.8,3.666,0.176,20.785,768.39,85.511,3659.175,176.051,32.684,1.979,0.5,0.456
213,House10,10.0,2,10.2,0to10,Residential,Forest,1989.0,18.0,4.0,2.0,0.9,,,,27.674,2.87,0.154,18.683,240.05,51.78,2583.295,138.268,19.969,1.285,0.121,-0.025
214,House10,10.0,2,10.2,10to30,Residential,Forest,1989.0,18.0,4.0,2.0,1.176,22.019,30.742,47.238,8.541,1.22,0.067,18.087,298.8,13.01,2870.123,158.688,9.587,2.035,-0.046,0.115
215,House10,10.0,3,10.3,10to30,Residential,Forest,1989.0,18.0,4.0,2.0,1.213,25.949,26.224,47.827,5.779,1.679,0.052,32.421,243.27,9.244,4072.581,125.615,7.791,0.854,0.115,0.168
216,House10,10.0,2,10.2,30to70,Residential,Forest,1989.0,18.0,4.0,2.0,1.094,16.0,39.75,44.25,4.535,0.228,0.024,9.622,112.55,7.67,997.045,103.624,6.865,1.351,-0.06,-0.01
217,House10,10.0,3,10.3,30to70,Residential,Forest,1989.0,18.0,4.0,2.0,1.287,18.689,35.026,46.285,5.188,0.262,0.024,10.812,134.49,5.435,1347.623,124.636,3.545,0.982,-0.021,0.0
218,House10,10.0,2,10.2,70to100,Residential,Forest,1989.0,18.0,4.0,2.0,1.195,19.04,34.983,45.977,3.049,0.14,0.019,7.376,87.39,3.127,502.248,68.095,3.367,1.631,-0.104,-0.013
219,House10,10.0,3,10.3,70to100,Residential,Forest,1989.0,18.0,4.0,2.0,1.414,16.375,34.75,48.875,3.754,0.134,0.018,7.34,87.22,1.832,569.136,77.544,0.764,1.691,-0.11,-0.006
220,House14,14.0,1,14.1,0to10,Residential,Forest,1987.0,20.0,4.0,2.0,1.072,40.08,22.767,37.153,17.775,1.224,0.085,14.352,80.9,38.646,1311.991,91.414,8.857,1.677,0.626,0.684
221,House14,14.0,2,14.2,0to10,Residential,Forest,1987.0,20.0,4.0,2.0,1.048,,,,5.468,2.123,0.14,15.216,511.88,62.629,2223.863,146.153,14.972,7.401,0.531,1.143
222,House14,14.0,1,14.1,10to30,Residential,Forest,1987.0,20.0,4.0,2.0,1.091,35.093,19.01,45.898,6.048,1.565,0.117,13.417,230.5,29.724,3414.857,254.515,6.482,7.152,0.128,0.638
223,House14,14.0,2,14.2,10to30,Residential,Forest,1987.0,20.0,4.0,2.0,1.169,37.578,18.764,43.658,3.518,1.266,0.101,12.548,147.28,32.192,2958.918,235.813,6.058,5.215,0.112,0.458
224,House14,14.0,1,14.1,30to70,Residential,Forest,1987.0,20.0,4.0,2.0,1.239,21.395,31.492,47.113,4.416,0.514,0.047,10.979,77.24,12.12,2546.621,231.959,8.812,1.827,-0.06,0.029
225,House14,14.0,2,14.2,30to70,Residential,Forest,1987.0,20.0,4.0,2.0,1.234,20.225,33.458,46.317,2.736,0.565,0.046,12.414,154.17,19.56,2790.303,224.765,6.883,9.825,0.141,0.086
226,House14,14.0,1,14.1,70to100,Residential,Forest,1987.0,20.0,4.0,2.0,1.295,18.814,35.276,45.909,2.613,0.208,0.025,8.36,148.02,11.796,807.053,96.538,7.373,5.072,-0.035,-0.021
227,House14,14.0,2,14.2,70to100,Residential,Forest,1987.0,20.0,4.0,2.0,1.375,19.48,36.259,44.261,4.513,0.188,0.022,8.662,85.83,9.445,773.195,89.263,8.933,0.723,0.375,0.08
228,House15,15.0,1,15.1,0to10,Residential,Forest,1969.0,38.0,2.0,2.0,0.67,42.793,18.736,38.471,21.695,3.225,0.28,11.527,221.58,124.801,2160.853,187.453,19.536,1.918,1.498,1.464
